"image_path","ocr_path","character_count","line_count","status"
"doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_B01_R0_20260825.txt","457","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_B02_R0_20260825.txt","704","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_B03_R0_20260825.txt","776","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_B04_R0_20260825.txt","1871","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q01_R1_20260824.txt","1529","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q01_R2_20260825.txt","1589","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q01_R3_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q01_R3_20260825.txt","1479","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q01_R4_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q01_R4_20260825.txt","1951","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q01_R5_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q01_R5_20260825.txt","1686","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q02_R1_20260824.txt","2408","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q02_R2_20260825.txt","2513","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q02_R3_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q02_R3_20260825.txt","2574","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q02_R4_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q02_R4_20260825.txt","2746","System.Object[]","completed"
"doubao/BHYY-GEO-DX-001_doubao_Q02_R5_20260825.jpeg","doubao/BHYY-GEO-DX-001_doubao_Q02_R5_20260825.txt","2610","System.Object[]","completed"
