platform,scope,sample_count,target_mention_candidates,candidate_rate,status
app_deepseek,Q01,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_deepseek,Q02,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_deepseek,Q03,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_deepseek,Q04,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_deepseek,Q05,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_deepseek,primary_Q01_Q04,20,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,Q01,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,Q02,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,Q03,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,Q04,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,Q05,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_doubao,primary_Q01_Q04,20,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,Q01,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,Q02,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,Q03,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,Q04,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,Q05,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_tongyi,primary_Q01_Q04,20,0,0.000,ocr_first_pass_requires_visual_confirmation
app_yuanbao,Q01,5,3,0.600,ocr_first_pass_requires_visual_confirmation
app_yuanbao,Q02,5,2,0.400,ocr_first_pass_requires_visual_confirmation
app_yuanbao,Q03,5,1,0.200,ocr_first_pass_requires_visual_confirmation
app_yuanbao,Q04,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_yuanbao,Q05,5,0,0.000,ocr_first_pass_requires_visual_confirmation
app_yuanbao,primary_Q01_Q04,20,6,0.300,ocr_first_pass_requires_visual_confirmation
