doc_id,title,rev,checksum,gate,stage,status,locked_by,raw_id,path,at
G0-001,01 G0负责人批准记录,1,233E8A1DFE03EBB615ACAB47B174C3B15146865DBF8DA3D54FD21EF91CA8FB72,G0,01,现行,W,R0008,project-records/01_G0负责人批准记录_2026-08-23.md,2026-08-23T14:51:11Z
G1-001,02 G1负责人批准记录,1,EE5C177D568D1331AAF4A43FD8D0FE9D92C1FB7A683F78C5AED73053BF2A54F5,G1,02,现行,W,R0015,project-records/02_G1负责人批准记录_2026-08-24.md,2026-08-24T04:40:55Z
G1-CHARTER-001,02 项目章程G1冻结版,1,55EF05DABDF32373B191355FD879DB06D07EACD7D43A6018539337D75E5C5861,G1,02,冻结,W,R0015,project-records/02_项目章程_G1冻结版_2026-08-24.md,2026-08-24T04:40:55Z
G1-REQ-001,02 需求规格G1冻结版,1,DF43D66F23FA76C59C3F34DD375CBB38CB2671BF29838E73F4764A3B2CDA95E2,G1,02,冻结,W,R0015,project-records/02_需求规格_G1冻结版_2026-08-24.md,2026-08-24T04:40:55Z
G1-ACCEPT-001,02 验收标准G1冻结版,1,4E8E7BC1CCBEC9219B35E9575D73D1CAB9CA4D0D117EFBE579266E07FD7084A1,G1,02,冻结,W,R0015,project-records/02_验收标准_G1冻结版_2026-08-24.md,2026-08-24T04:40:55Z
G1-QUERY-001,02 无品牌问题清单G1冻结版,1,EAFD881D9D7EE69E0D46217BF4AAD784D6073D664D5CC6CF9936E426AB09D90E,G1,02,冻结,W,R0015,project-records/02_无品牌问题清单_G1冻结版_2026-08-24.md,2026-08-24T04:40:55Z
CF-001,03 竞品机构名单冻结记录,1,21A4480A3152C2FEFBCF2B826AE996F3477B45024094734148CB40B50F626AF6,G3-pre,03,现行,W,R0015,project-records/03_竞品机构名单冻结记录_2026-08-24.md,2026-08-24T04:40:55Z
CF-ALIASES-001,03 竞品机构别名表冻结版,1,0BB17544F11EB111E088EF96BA666666594EAA7B8F719AC6DA82BFF39E0954F4,G3-pre,03,冻结,W,R0015,project-records/03_竞品机构别名表_CF-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T04:40:55Z
G6-001,07 G6负责人批准记录,1,B2F0D770DE8FBB1E5340839A9707BC08FDA3BCD6C331D3A1303BD18C8537C69C,G6,07,现行,W,R0020,project-records/07_G6负责人批准记录_2026-08-24.md,2026-08-24T06:55:08Z
G6-BUDGET-001,07 工时与资源预算G6冻结版,1,C002CA912EC53E446FE28C5653979983825B8708334C2C633D0C4FAAF2A76991,G6,07,冻结,W,R0020,project-records/07_工时与资源预算_G6冻结版_2026-08-24.md,2026-08-24T06:55:08Z
G6-CALC-001,07 预算计算明细G6冻结版,1,3D0163AD1C0CA6E88B1AD56DAF8AB76971A6E1A6E9593806A6C3E0DE9CC71BE0,G6,07,冻结,W,R0020,project-records/07_预算计算明细_G6冻结版_2026-08-24.csv,2026-08-24T06:55:08Z
G7-001,08 G7负责人批准记录,1,89E04AEA43310E3DB5275AA446E6F82BBBBCA1528E9A4B19049EDA6A7614B031,G7,08,现行,W,R0023,project-records/08_G7负责人批准记录_2026-08-24.md,2026-08-24T08:02:36Z
G7-STAKE-001,08 干系人登记G7冻结版,1,01938B9974904D89EC4E559C9724A731A61803B213283EC64234AE0D8F90F570,G7,08,冻结,W,R0023,project-records/08_干系人登记_G7冻结版_2026-08-24.md,2026-08-24T08:02:36Z
G7-COMMS-001,08 沟通矩阵G7冻结版,1,BD46642AC24C1AA7AEED671A4299AD0C313FD623B83234B455C59840F4B0F8E3,G7,08,冻结,W,R0023,project-records/08_沟通矩阵_G7冻结版_2026-08-24.md,2026-08-24T08:02:36Z
G7-COPY-001,08 对外口径与报告顺序G7冻结版,1,70E297245B47978CB4E000B3C4A2B5882177BD85B68CB1986823D0D184BBBB0D,G7,08,冻结,W,R0023,project-records/08_对外口径与报告顺序_G7冻结版_2026-08-24.md,2026-08-24T08:02:36Z
MC-001,03 医院事实与测量配置冻结记录,1,5F41B01A20963ED2AA9FD914576847B75268CAC7A2E8502B44F4B70C86CBE2F0,G3-pre,03,现行,W,R0025,project-records/03_医院事实与测量配置冻结记录_2026-08-24.md,2026-08-24T08:20:47Z
MC-FACTS-001,03 目标机构事实金标准,1,2F9E2FBFE6AA854C44082DF758820B719BE6F0FF9BBD07E7B5A1ADFF825F0003,G3-pre,03,冻结,W,R0025,project-records/03_目标机构事实金标准_MC-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T08:20:47Z
MC-ALIASES-001,03 机构别名表,1,2835C24836B864BD3C7A3F99EE7717EC18459D5EE77F49631C7A6C99319DD22D,G3-pre,03,冻结,W,R0025,project-records/03_机构别名表_MC-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T08:20:47Z
MC-SOURCES-001,03 自有官方来源表,1,E694B3A8BADC9A5CCC6F2337E9603B3E671744DD4ADBD6591E48410974314553,G3-pre,03,冻结,W,R0025,project-records/03_自有官方来源表_MC-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T08:20:47Z
MC-QUERIES-001,03 测量问题配置,1,DB1E095DC74B2069B3BA0F5A69C928D3121E65D3C4D13C055BD69046A9F155DF,G3-pre,03,冻结,W,R0025,project-records/03_测量问题配置_MC-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T08:20:47Z
MC-RUN-001,03 测量运行参数,1,9840F318DABD4B72E4B3C170C002BC630268DCA33A58C42E21E43D04CCF352C5,G3-pre,03,冻结,W,R0025,project-records/03_测量运行参数_MC-BHYY-GEO-DX-001-20260824-01.json,2026-08-24T08:20:47Z
MC-REVIEW-001,03 Core复核抽样表,1,E579FD26BCCC06E4C850BD19D07036907B2265F8C809FF31992F6DEF40EC2BB8,G3-pre,03,冻结,W,R0025,project-records/03_Core复核抽样表_MC-BHYY-GEO-DX-001-20260824-01.csv,2026-08-24T08:20:47Z
G3-001,03 G3负责人批准记录,1,49CE700101E41F6016EDEB23128BF94CAEA36DEAD5BF70DE55A9B3F5A2404AA3,G3,03,现行,W,R0033,project-records/03_G3负责人批准记录_2026-08-26.md,2026-08-26T09:18:07Z
G3-RESULT-001,03 手机实测结果摘要G3冻结版,1,84D393EA2CB6AB06C996991B9A598041466BE5F851C873B8E495DE5721A3760C,G3,03,冻结,W,R0033,project-records/03_手机实测结果摘要_G3冻结版_2026-08-26.md,2026-08-26T09:18:07Z
G3-SAMPLES-001,03 手机实测评分台账G3冻结版,1,34A849EB99298BE148EE5BF1BAA184AE1EE3A0C8E166E3FFCDECB41D636426AB,G3,03,冻结,W,R0033,project-records/03_手机实测评分台账_G3冻结版_2026-08-26.csv,2026-08-26T09:18:07Z
G2-001,04 G2负责人批准记录,1,B3D06FFACE37999354C112FCFC931B5B980BBD1B58DCF18FD467EC21F4E65F0E,G2,04,现行,W,R0036,project-records/04_G2负责人批准记录_2026-08-27.md,2026-08-27T13:38:37Z
G2-WBS-001,04 工作分解结构G2冻结版,1,DD58091A3B5BFB3630970CB0394E9881CFE67BDD4142EF540023029664C7F97F,G2,04,冻结,W,R0036,project-records/04_工作分解结构_G2冻结版_2026-08-27.md,2026-08-27T13:38:37Z
G2-SCHEDULE-001,04 进度计划G2冻结版,1,3C3AE3CB7D9E578C03016EE8327D2BC48F76637EC1897B4A07989E9028AFE603,G2,04,冻结,W,R0036,project-records/04_进度计划_G2冻结版_2026-08-27.csv,2026-08-27T13:38:37Z
G2-RACI-001,04 职责分工矩阵G2冻结版,1,CA104DC96084BB8100A841D93011BB2BD29C7F17D8DE5551F89A905BE8D6E026,G2,04,冻结,W,R0036,project-records/04_职责分工矩阵_G2冻结版_2026-08-27.csv,2026-08-27T13:38:37Z
G5-001,05 G5负责人批准记录,1,DF49B1F795E225C6D64E68FDF13955E90B10D7A8E5F1664100AA1E1159B977B4,G5,05,现行,W,R0039,project-records/05_G5负责人批准记录_2026-08-27.md,2026-08-27T15:55:31Z
G5-CONTROL-001,05 推进实施控制方案G5冻结版,1,6744B09688E88E0BF40F203FB9B2DAD2F091F28B345481DF736381D7106644EF,G5,05,冻结,W,R0039,project-records/05_推进实施控制方案_G5冻结版_2026-08-27.md,2026-08-27T15:55:31Z
G5-ISSUES-001,05 问题与变更日志G5冻结版,1,5535C75081BAAC827F9B5B3294DEAFF9704A6C5B9DD20C359A4B60E1730003B8,G5,05,冻结,W,R0039,project-records/05_问题与变更日志_G5冻结版_2026-08-27.csv,2026-08-27T15:55:31Z
G5-WEEKLY-001,05 流程评估周报G5冻结版,1,0DE491891558069CCD601E64EDA56B3F115426BD634315F52F9F8692CAC1EEF8,G5,05,冻结,W,R0039,project-records/05_流程评估周报_G5冻结版_2026-08-27.md,2026-08-27T15:55:31Z
G4-001,06 G4负责人批准记录,1,F443CD48ECA3277D49862451FA995D18DA7E6A41CB08390B38C6C9D6D73B5F0A,G4,06,现行,W,R0042,project-records/06_G4负责人批准记录_2026-08-28.md,2026-08-28T06:00:40Z
G4-REPORT-001,06 流程评估诊断报告G4冻结版,1,BB1E1D41A656F06599BC1CE6F366F4B6176F8AFAE5978F359CE89604E201546B,G4,06,冻结,W,R0042,project-records/06_流程评估诊断报告_G4冻结版_2026-08-28.md,2026-08-28T06:00:40Z
G4-METRICS-001,06 平台指标汇总G4冻结版,1,B17AC2CCD1CE6E9DD6B8A983BBFCC530BA27DAF7954701C40C332EA5AAD59BBF,G4,06,冻结,W,R0042,project-records/06_平台指标汇总_G4冻结版_2026-08-28.csv,2026-08-28T06:00:40Z
G4-COVERAGE-001,06 样本覆盖汇总G4冻结版,1,A0503DF7E642485B20F7658CD3247BD6017C6F9E6ABC60084CBA394363BB6A73,G4,06,冻结,W,R0042,project-records/06_样本覆盖汇总_G4冻结版_2026-08-28.csv,2026-08-28T06:00:40Z
G4-EVIDENCE-001,06 证据与来源清单G4冻结版,1,3E476EB970EE5A975AF6D96FAC6AF791D3A8D44024B2C2A722FD24EAF6EB169D,G4,06,冻结,W,R0042,project-records/06_证据与来源清单_G4冻结版_2026-08-28.json,2026-08-28T06:00:40Z
G4-DELIVERABLES-001,06 交付物清单G4冻结版,1,29E163AB297628ECA303595C706BA10559F49CB248520B8708691300352CC38C,G4,06,冻结,W,R0042,project-records/06_交付物清单_G4冻结版_2026-08-28.csv,2026-08-28T06:00:40Z
G4-ACCEPT-001,06 验收单G4冻结版,1,4EA15A85AF0F885A667AE48646B4F0E2748E27FF1CDC01AAC07F324FC07EDE2E,G4,06,冻结,W,R0042,project-records/06_验收单_G4冻结版_2026-08-28.md,2026-08-28T06:00:40Z
G4-ARCHIVE-001,06 项目移交与归档记录,1,3FEE0A95AEE817A0D44615D1FB40F62EF6D8DB8849108D4BB308CE0DD7D2431F,G4,06,现行,W,R0042,project-records/06_项目移交与归档记录_2026-08-28.md,2026-08-28T06:00:40Z
